Sitting_Dates,Titles,Debate_Ids,Urls
2022-02-10,Draft Immigration and Nationality (Fees) (Amendment) Order 2022,931a8a7e-472e-4e56-a549-69578fc5369b,https://hansard.parliament.uk/Commons/2022-02-10/debates/931a8a7e-472e-4e56-a549-69578fc5369b/DraftImmigrationandNationality(Fees)(Amendment)Order2022
2022-01-05,Non-UK Armed Forces Personnel: Immigration Requirements,1C04326B-4FB2-480A-B1AE-7E58D4AFCC0B,https://hansard.parliament.uk/Commons/2022-01-05/debates/1C04326B-4FB2-480A-B1AE-7E58D4AFCC0B/Non-UKArmedForcesPersonnelImmigrationRequirements
2021-12-06,International Students and Researchers:  Immigration Rules,7605967C-EF0B-4E28-AC00-692FC4089B62,https://hansard.parliament.uk/Commons/2021-12-06/debates/7605967C-EF0B-4E28-AC00-692FC4089B62/InternationalStudentsandResearchersImmigrationRules
2021-07-07,Immigration Rules,8D7EE02C-679A-4245-B46A-422CF6BF4C13,https://hansard.parliament.uk/Commons/2021-07-07/debates/8D7EE02C-679A-4245-B46A-422CF6BF4C13/ImmigrationRules
2021-06-28,"Draft Nationality, Immigration and Asylum Act 2002 (Juxtaposed Controls) (Amendment) (No. 2) Order 2021",05455938-f794-4cb3-8b99-5fef5c2af3f3,"https://hansard.parliament.uk/Commons/2021-06-28/debates/05455938-f794-4cb3-8b99-5fef5c2af3f3/DraftNationality,ImmigrationandAsylumAct2002(JuxtaposedControls)(Amendment)(No.2)Order2021"
2021-06-22,Immigration: Sharing of Data between HMRC and Home Office,3A4B9614-310C-41DC-8496-045052879B03,https://hansard.parliament.uk/Commons/2021-06-22/debates/3A4B9614-310C-41DC-8496-045052879B03/ImmigrationSharingofDatabetweenHMRCandHomeOffice
2021-06-21,Draft British Nationality Act 1981 (Immigration Rules Appendix EU) (Amendment) Regulations 2021,0c1d592c-5f23-429d-9e96-47db225284e1,https://hansard.parliament.uk/Commons/2021-06-21/debates/0c1d592c-5f23-429d-9e96-47db225284e1/DraftBritishNationalityAct1981(ImmigrationRulesAppendixEU)(Amendment)Regulations2021
2021-06-09,"Draft Immigration and Nationality (Fees) (Amendment) Order 2021   

Draft Immigration (Collection, use and retention of Biometric information and related Amendments) Regulations 2021",67081a54-726a-4cfe-9a85-9314424fa535,"https://hansard.parliament.uk/Commons/2021-06-09/debates/67081a54-726a-4cfe-9a85-9314424fa535/DraftImmigrationandNationality(Fees)(Amendment)Order2021

DraftImmigration(Collection,useandretentionofBiometricinformationandrelatedAmendments)Regulations2021"
2021-06-07,Immigration Detention for Women,E5D5423F-10EA-4F52-9461-5F7F65964E34,https://hansard.parliament.uk/Commons/2021-06-07/debates/E5D5423F-10EA-4F52-9461-5F7F65964E34/ImmigrationDetentionforWomen
2021-06-07,Immigration: British Armed Forces Interpreters,D299FB65-512A-4736-8A66-2C897E09E973,https://hansard.parliament.uk/Commons/2021-06-07/debates/D299FB65-512A-4736-8A66-2C897E09E973/ImmigrationBritishArmedForcesInterpreters
2021-04-28,Immigration,DF27757B-7F63-4D87-ABDA-DF7BD1B70715,https://hansard.parliament.uk/Commons/2021-04-28/debates/DF27757B-7F63-4D87-ABDA-DF7BD1B70715/Immigration
2021-04-27,Immigration Detention:  Victims of Trafficking,8E6419E8-D642-4D24-B834-FB25EF7AE8E5,https://hansard.parliament.uk/Commons/2021-04-27/debates/8E6419E8-D642-4D24-B834-FB25EF7AE8E5/ImmigrationDetentionVictimsofTrafficking
2021-03-25,Immigration and Nationality  Application Fees,AAEE4E60-FC9F-4300-9322-A8A69518B550,https://hansard.parliament.uk/Commons/2021-03-25/debates/AAEE4E60-FC9F-4300-9322-A8A69518B550/ImmigrationandNationalityApplicationFees
2021-03-24,New Plan for Immigration,464FFFBB-ECA5-4788-BC36-60F8B7D8D9D1,https://hansard.parliament.uk/Commons/2021-03-24/debates/464FFFBB-ECA5-4788-BC36-60F8B7D8D9D1/NewPlanforImmigration
2021-03-22,Immigration: Hong Kong,CF95F181-488F-49DB-89F8-7672B52FF32F,https://hansard.parliament.uk/Commons/2021-03-22/debates/CF95F181-488F-49DB-89F8-7672B52FF32F/ImmigrationHongKong
2021-02-23,"Draft Nationality, Immigration and Asylum Act 2002 (Juxtaposed Controls) (Amendment) Order 2021",2e4bda03-7239-4256-9f0f-97e73dbf8e68,"https://hansard.parliament.uk/Commons/2021-02-23/debates/2e4bda03-7239-4256-9f0f-97e73dbf8e68/DraftNationality,ImmigrationandAsylumAct2002(JuxtaposedControls)(Amendment)Order2021"
2021-02-01,British National (Overseas) Immigration Pathway,542F8D29-6264-4652-91D2-D8A42BFADAA5,https://hansard.parliament.uk/Commons/2021-02-01/debates/542F8D29-6264-4652-91D2-D8A42BFADAA5/BritishNational(Overseas)ImmigrationPathway
2020-12-16,Immigration Rules: Supported Accommodation,06EA3DD8-026C-4AAF-BCBA-60F1B5D2E3F6,https://hansard.parliament.uk/Commons/2020-12-16/debates/06EA3DD8-026C-4AAF-BCBA-60F1B5D2E3F6/ImmigrationRulesSupportedAccommodation
2020-12-14,UK Immigration System: Devolved Administrations,4A036468-A9BA-4BAB-A9AF-BB775592BF4E,https://hansard.parliament.uk/Commons/2020-12-14/debates/4A036468-A9BA-4BAB-A9AF-BB775592BF4E/UKImmigrationSystemDevolvedAdministrations
2020-12-10,Immigration Offences: Prosecution,CB222FD2-88F1-4D29-83BC-2A382F384F4D,https://hansard.parliament.uk/Commons/2020-12-10/debates/CB222FD2-88F1-4D29-83BC-2A382F384F4D/ImmigrationOffencesProsecution
2020-12-08,"Immigration and Social Security Co-ordination (EU Withdrawal) Act 2020 (Consequential, Saving, Transitional and Transitory Provisions) (EU Exit) Regulations 2020",a6c3b805-366a-4a32-948f-40bb0e3b548b,"https://hansard.parliament.uk/Commons/2020-12-08/debates/a6c3b805-366a-4a32-948f-40bb0e3b548b/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Act2020(Consequential,Saving,TransitionalandTransitoryProvisions)(EUExit)Regulations2020"
2020-11-24,Draft Immigration (Leave to Enter and Remain) (Amendment) (EU Exit) Order 2020,53a546f4-e6a5-4bed-945a-fdd1904a5966,https://hansard.parliament.uk/Commons/2020-11-24/debates/53a546f4-e6a5-4bed-945a-fdd1904a5966/DraftImmigration(LeavetoEnterandRemain)(Amendment)(EUExit)Order2020
2020-11-09,Points-based Immigration System,C2496F7A-F826-4063-8821-9530E75DC9DF,https://hansard.parliament.uk/Commons/2020-11-09/debates/C2496F7A-F826-4063-8821-9530E75DC9DF/Points-basedImmigrationSystem
2020-11-04,Immigration and Social Security Co-ordination (EU Withdrawal) Bill,64A67215-0E25-487B-AB05-D2E8FFAD5D11,https://hansard.parliament.uk/Commons/2020-11-04/debates/64A67215-0E25-487B-AB05-D2E8FFAD5D11/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill
2020-10-21,Exiting the European Union (Immigration),E784E7C1-C7ED-41F2-98D3-DDE2EFE1B3EA,https://hansard.parliament.uk/Commons/2020-10-21/debates/E784E7C1-C7ED-41F2-98D3-DDE2EFE1B3EA/ExitingtheEuropeanUnion(Immigration)
2020-10-19,Immigration and Social Security Co-ordination (EU Withdrawal) Bill,97E83258-6E39-432F-8AE0-C2D7E0B1966F,https://hansard.parliament.uk/Commons/2020-10-19/debates/97E83258-6E39-432F-8AE0-C2D7E0B1966F/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill
2020-10-19,Immigration,2CE297BF-23A7-4F42-9100-F2DDB62FF085,https://hansard.parliament.uk/Commons/2020-10-19/debates/2CE297BF-23A7-4F42-9100-F2DDB62FF085/Immigration
2020-10-13,Draft Immigration Skills Charge (Amendment) Regulations 2020,be308fcf-dedb-4ebf-93fd-8e22edf02bfb,https://hansard.parliament.uk/Commons/2020-10-13/debates/be308fcf-dedb-4ebf-93fd-8e22edf02bfb/DraftImmigrationSkillsCharge(Amendment)Regulations2020
2020-09-30,IMMIGRATION,F055CB71-4CD4-437A-A479-7AB578C9286A,https://hansard.parliament.uk/Commons/2020-09-30/debates/F055CB71-4CD4-437A-A479-7AB578C9286A/IMMIGRATION
2020-09-22,Draft Immigration (Health Charge) (Amendment) Order 2020,4878fcf3-a910-49d1-85da-0a98aa748a69,https://hansard.parliament.uk/Commons/2020-09-22/debates/4878fcf3-a910-49d1-85da-0a98aa748a69/DraftImmigration(HealthCharge)(Amendment)Order2020
2020-09-15,draft Immigration (Persons Designated under Sanctions Regulations)  (EU Exit) REGULATIONS 2020,e1738498-4501-442a-97c9-91ba0bc74b4f,https://hansard.parliament.uk/Commons/2020-09-15/debates/e1738498-4501-442a-97c9-91ba0bc74b4f/draftImmigration(PersonsDesignatedunderSanctionsRegulations)(EUExit)REGULATIONS2020
2020-09-01,Immigration  (Health and Social Care Staff),9A2F3E6B-B587-4ECA-9918-F397C5F966CF,https://hansard.parliament.uk/Commons/2020-09-01/debates/9A2F3E6B-B587-4ECA-9918-F397C5F966CF/Immigration(HealthandSocialCareStaff)
2020-07-13,Immigration Health Surcharge Exemption,154A8344-4F5E-4EB4-9505-E7E306415E22,https://hansard.parliament.uk/Commons/2020-07-13/debates/154A8344-4F5E-4EB4-9505-E7E306415E22/ImmigrationHealthSurchargeExemption
2020-07-13,Points-based Immigration System,3711CA27-7617-4A22-A122-0E3BB49124DB,https://hansard.parliament.uk/Commons/2020-07-13/debates/3711CA27-7617-4A22-A122-0E3BB49124DB/Points-basedImmigrationSystem
2020-06-30,Immigration and Social Security Co-ordination (EU Withdrawal) Bill,581DFFF9-B3ED-4B76-9F51-A1F2325334A6,https://hansard.parliament.uk/Commons/2020-06-30/debates/581DFFF9-B3ED-4B76-9F51-A1F2325334A6/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill
2020-06-18,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Eighth sitting),99fd2caf-a9ea-4445-91fb-f97329ad2eae,https://hansard.parliament.uk/Commons/2020-06-18/debates/99fd2caf-a9ea-4445-91fb-f97329ad2eae/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Eighthsitting)
2020-06-18,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Seventh sitting),4dfc216e-4ba2-4e53-a3e4-c1a0e98b67a1,https://hansard.parliament.uk/Commons/2020-06-18/debates/4dfc216e-4ba2-4e53-a3e4-c1a0e98b67a1/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Seventhsitting)
2020-06-16,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Sixth sitting),cc80f9f1-8de8-49d6-af2f-e3cbe3bddccc,https://hansard.parliament.uk/Commons/2020-06-16/debates/cc80f9f1-8de8-49d6-af2f-e3cbe3bddccc/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Sixthsitting)
2020-06-16,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Fifth sitting),f366d80f-945f-4e12-90df-64447d108c93,https://hansard.parliament.uk/Commons/2020-06-16/debates/f366d80f-945f-4e12-90df-64447d108c93/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Fifthsitting)
2020-06-11,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Third sitting),a3479370-7fb7-462b-956e-13b4ca61e8ca,https://hansard.parliament.uk/Commons/2020-06-11/debates/a3479370-7fb7-462b-956e-13b4ca61e8ca/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Thirdsitting)
2020-06-11,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Fourth sitting),6ef9890e-5b2a-47e6-a1ef-8cbd337746f7,https://hansard.parliament.uk/Commons/2020-06-11/debates/6ef9890e-5b2a-47e6-a1ef-8cbd337746f7/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Fourthsitting)
2020-06-09,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Second sitting),7ea96121-3750-46ec-926c-caed790a05d6,https://hansard.parliament.uk/Commons/2020-06-09/debates/7ea96121-3750-46ec-926c-caed790a05d6/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Secondsitting)
2020-06-09,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (First sitting),bbf9bfcb-15c2-4412-b248-f53270fd7c62,https://hansard.parliament.uk/Commons/2020-06-09/debates/bbf9bfcb-15c2-4412-b248-f53270fd7c62/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill(Firstsitting)
2020-06-08,Immigration,3C652267-8D59-42FC-9444-9820FC052311,https://hansard.parliament.uk/Commons/2020-06-08/debates/3C652267-8D59-42FC-9444-9820FC052311/Immigration
2020-05-18,Immigration and Social Security Co-ordination (EU Withdrawal) Bill,7FA826EF-0D2F-473A-B036-78D1A7F01A31,https://hansard.parliament.uk/Commons/2020-05-18/debates/7FA826EF-0D2F-473A-B036-78D1A7F01A31/ImmigrationandSocialSecurityCo-ordination(EUWithdrawal)Bill
2020-03-10,Points-based Immigration,FA5A6ED2-1683-4FD9-97F7-C565D23C1680,https://hansard.parliament.uk/Commons/2020-03-10/debates/FA5A6ED2-1683-4FD9-97F7-C565D23C1680/Points-basedImmigration
2020-03-03,Immigration (Citizens' Rights Appeals)  (EU Exit) Regulations 2020,dcbbb991-b9df-41a6-8169-ccfc73cc05ae,https://hansard.parliament.uk/Commons/2020-03-03/debates/dcbbb991-b9df-41a6-8169-ccfc73cc05ae/Immigration(Citizens'RightsAppeals)(EUExit)Regulations2020
2020-02-24,Points-based Immigration System,BFC9BA43-7D17-4A24-9C34-917C233FB056,https://hansard.parliament.uk/Commons/2020-02-24/debates/BFC9BA43-7D17-4A24-9C34-917C233FB056/Points-basedImmigrationSystem
2020-02-10,Points-based Immigration System,76D9A0DB-29D0-4ED6-8352-E48412BE79FC,https://hansard.parliament.uk/Commons/2020-02-10/debates/76D9A0DB-29D0-4ED6-8352-E48412BE79FC/Points-basedImmigrationSystem
2019-10-07,Reclassification of Ministers of Religion under Immigration Rules,21D122E1-03CF-450B-B8DC-8CD42E536CDA,https://hansard.parliament.uk/Commons/2019-10-07/debates/21D122E1-03CF-450B-B8DC-8CD42E536CDA/ReclassificationofMinistersofReligionunderImmigrationRules
2019-07-17,Immigration Detention: Victims of Modern Slavery,9861C238-5602-4D10-A120-8EB6BC04DDD6,https://hansard.parliament.uk/Commons/2019-07-17/debates/9861C238-5602-4D10-A120-8EB6BC04DDD6/ImmigrationDetentionVictimsofModernSlavery
